       textosEads  ClassEmociones
1539        15947               4
1540         6102               3
1541        15062               0
1542         7323               2
1543         2631               3
1544         5826               2
1545         3999               1
1546         3671               4
1547         4665               4
1548         6211               5
1549         9973               4
1550         2334               2
1551        11017               2
1552         9901               2
1553         3513               0
1554         8580               4
1555         4137               2
1556        10194               2
1557         9271               4
1558         7548               2
1559         1714               2
1560        12406               4
1561        12691               4
1562        12922               2
1563         4219               0
1564          144               2
1565         9989               1
1566         1535               0
1567        12919               2
1568        14316               2
1569          291               2
1570         1290               1
1571        11077               4
1572         7595               2
1573        15636               1
1574         8022               4
1575        12387               4
1576         5439               0
1577        12263               4
1578        14206               2
1579        13800               2
1580         5191               0
1581        15738               4
1582        13958               4
1583          990               4
1584         9205               4
1585         1038               2
1586        14521               2
1587         3743               2
1588        12181               4
1589         4898               2
1590         1622               2
1591         7485               2
1592         1552               4
1593        11217               1
1594          752               3
1595        13642               1
1596         7882               1
1597           15               1
1598         6557               0
1599         9825               0
1600        14046               4
1601         7377               2
1602        11893               4
1603         6873               4
1604         3462               4
1605          937               4
1606         1262               1
1607         3717               2
1608         2953               4
1609        12929               2
1610         8276               1
1611        11539               1
1612         1231               4
1613        10253               0
1614         4575               1
1615         5294               4
1616        15667               4
1617         5695               2
1618         7126               0
1619         3157               4
1620         7922               4
1621        14962               2
1622         5234               4
1623         8593               1
1624         3952               0
1625        13459               0
1626         3447               2
1627        14491               2
1628         9807               4
1629        10323               2
1630         9305               2
1631        13532               4
1632        10955               4
1633        10400               2
1634         9928               4
1635         1953               1
1636        11460               2
1637        15737               4
1638         9144               4
1639          809               4
1640         7873               1
1641         5752               2
1642        14926               5
1643         7027               4
1644         5490               2
1645         7633               3
1646         3547               2
1647          523               0
1648         1467               5
1649        14569               2
1650         4783               2
1651         2590               4
1652         8291               4
1653         5784               2
1654         4613               2
1655        10237               1
1656        14635               2
1657         7406               0
1658         6783               2
1659         9282               2
1660        13207               2
1661        13930               1
1662         3277               2
1663         2532               0
1664         9537               2
1665        13222               0
1666         3928               4
1667         2170               2
1668         8010               4
1669         3206               4
1670         7085               2
1671         5312               1
1672         4059               2
1673         8461               2
1674         9080               1
1675          410               4
1676        13055               4
1677        11310               3
1678         7188               4
1679         7784               0
1680         2655               4
1681         8289               4
1682         9830               0
1683        11613               0
1684        11686               4
1685         6239               3
1686         5124               4
1687         6742               3
1688        10435               2
1689         7916               4
1690        15197               2
1691         5625               3
1692         9383               1
1693         7940               2
1694         2515               1
1695         7934               2
1696        10569               0
1697         4065               2
1698        13043               4
1699        10709               2
1700          712               2
1701        15177               1
1702         8636               5
1703        13787               4
1704        10289               2
1705         1707               4
1706         1661               5
1707        15855               4
1708         9847               4
1709         3343               4
1710         5949               4
1711         2126               2
1712         3429               1
1713          122               4
1714         3730               4
1715        15961               0
1716          895               2
1717         3037               4
1718        15142               3
1719          657               1
1720         6839               0
1721         3458               4
1722        15632               1
1723         2386               4
1724        10290               2
1725         6071               2
1726         2107               2
1727        12307               5
1728         3844               2
1729         8982               4
1730        13905               2
1731         8678               0
1732        12580               2
1733         6755               2
1734        12746               0
1735         3117               0
1736         6443               4
1737         7304               5
1738          215               1
1739         5497               5
1740        11352               2
1741         4683               1
1742         5754               4
1743        11391               3
1744        13001               2
1745         9257               2
1746         7431               0
1747         8618               4
1748         2542               3
1749         2132               4
1750         9727               4
1751         4409               2
1752         8245               0
1753        14224               4
1754         5003               4
1755         7535               0
1756         4864               5
1757         5089               2
1758         5844               0
1759         2876               4
1760        13556               0
1761        12374               0
1762         6668               4
1763         6950               2
1764         1050               5
1765         2829               1
1766         5281               2
1767         3331               2
1768        15895               1
1769         3440               2
1770        15610               0
1771         6814               4
1772        15299               4
1773         4252               2
1774         1501               2
1775         1502               4
1776         5407               2
1777         2710               4
1778         8805               1
1779         9404               0
1780         5244               4
1781         6198               2
1782          541               0
1783         4605               0
1784        14013               3
1785         4600               2
1786         4329               2
1787         3903               2
1788        13458               2
1789         9554               0
1790         4430               2
1791         2130               2
1792         6603               4
1793         3778               2
1794        11936               2
1795        12483               2
1796         5974               2
1797          867               1
1798        14981               4
1799        15774               4
1800        13349               4
1801         6627               2
1802        12080               2
1803         2310               4
1804        10641               4
1805         2781               2
1806         9579               2
1807         1296               3
1808        15666               4
1809         2010               0
1810         1975               4
1811         8652               3
1812        12176               2
1813        13067               4
1814        14160               2
1815         8656               4
1816         4776               2
1817         4672               0
1818         7790               2
1819         4002               4
1820        11455               4
1821         3951               4
1822        11103               5
1823         7491               0
1824         1350               2
1825        14318               4
1826         4470               4
1827         1669               0
1828         6619               2
1829          447               2
1830         3188               4
1831        15644               1
1832         1540               2
1833         4240               3
1834         9707               4
1835         6498               0
1836        15123               1
1837        10696               1
1838          705               3
1839          451               4
1840        13412               3
1841         3132               2
1842        14244               3
1843        15816               4
1844        11976               4
1845         4188               2
1846        15530               3
1847         9749               1
1848        15702               4
1849         1771               2
1850          221               2
1851         3266               4
1852         7849               4
1853        11661               3
1854         4336               2
1855         3704               1
1856        12480               1
1857        12798               0
1858         1265               2
1859         9856               1
1860        14191               1
1861         8060               5
1862        13128               4
1863         1258               2
1864        11624               1
1865         5563               2
1866         1314               1
1867        13699               2
1868        10006               4
1869         6582               3
1870        11032               2
1871         7281               2
1872        11951               0
1873        11548               4
1874        11314               2
1875         3179               2
1876         8081               0
1877         9818               4
1878        12439               4
1879         5337               2
1880        12988               2
1881         3246               1
1882         6786               2
1883         8750               1
1884        15112               2
1885         4305               2
1886         8166               2
1887        10701               1
1888         6015               2
1889        13326               0
1890        14562               0
1891        11967               2
1892         5562               1
1893         4912               4
1894          954               2
1895         9160               4
1896         4748               4
1897        11059               0
1898        10463               4
1899         4677               0
1900         6712               4
1901         5085               4
1902        12285               2
1903         1106               4
1904         5906               1
1905        11322               4
1906          989               3
1907        14413               1
1908         2951               2
1909        12542               4
1910         5787               1
1911          647               3
1912         9558               2
1913        10789               1
1914         7199               4
1915        14079               4
1916         4403               4
1917         2584               2
1918         8602               2
1919         4224               2
1920         2003               2
1921        13784               4
1922        14526               0
1923         3218               1
1924         7523               2
1925         8035               2
1926        11474               2
1927        13250               4
1928         1337               5
1929         7667               1
1930         4442               2
1931        15953               2
1932        14253               4
1933         4248               2
1934         8353               3
1935         6062               2
1936         4582               4
1937        15186               1
1938         1744               2
1939         1395               0
1940         2084               2
1941        10061               2
1942        13509               0
1943         2247               1
1944         9502               3
1945        12693               5
1946         5476               0
1947         8247               2
1948        11359               4
1949        11580               4
1950          446               4
1951        14337               4
1952         4855               4
1953        15369               0
1954         9577               5
1955        10582               1
1956         6437               2
1957         9625               4
1958         2962               4
1959         6039               2
1960         5327               4
1961        12884               2
1962         9846               3
1963           10               0
1964        13443               4
1965         6774               1
1966         9472               4
1967         9750               2
1968        11532               4
1969        10671               3
1970        14209               2
1971        10675               4
1972         5127               3
1973         9860               3
1974        13204               4
1975        13408               1
1976        14281               2
1977         3226               2
1978         6126               3
1979         8686               2
1980        11835               2
1981        12762               4
1982         6620               2
1983        11582               4
1984        13607               3
1985        14507               3
1986         1194               0
1987         3905               4
1988        15498               2
1989         1745               4
1990        12833               1
1991         6765               2
1992         1801               4
1993        15535               2
1994         2023               1
1995         6959               4
1996           50               2
1997         3576               5
1998         9043               5
1999         1131               2
2000        11222               4
2001        14908               0
2002        11799               1
2003         5216               0
2004         1642               4
2005        10041               4
2006         6671               5
2007         8977               2
2008        13237               4
2009         7808               0
2010         8434               4
2011        10812               1
2012        15185               3
2013         5040               2
2014          654               2
2015        12848               5
2016        14550               2
2017         5694               4
2018        11935               0
2019        15339               1
2020         1076               4
2021         3649               2
2022         3460               2
2023         1545               1
2024        15691               2
2025        14280               2
2026        12965               2
2027        10311               4
2028         6279               0
2029         7754               2
2030         4821               0
2031        12735               4
2032         7692               2
2033        14321               4
2034        13332               4
2035        12433               1
2036        12969               3
2037        14677               1
2038         4887               2
2039         5091               2
2040         7065               2
2041        10562               2
2042         2276               1
2043        10465               0
2044         1696               5
2045         3828               2
2046        14720               4
2047         9619               4
2048         2696               2
2049          542               1
2050         8207               4
2051         2343               2
2052         6128               4
2053         8635               2
2054         4643               4
2055        13822               2
2056        13263               2
2057        10980               2
2058        12868               3
2059        15968               1
2060        11098               2
2061         8813               4
2062         3391               4
2063        15683               5
2064         1446               3
2065          828               1
2066        12017               0
2067         8251               0
2068        15705               4
2069        14036               4
2070        10975               2
2071         6708               3
2072        14254               2
2073         8855               3
2074          985               2
2075        14793               1
2076         5734               4
2077        12761               3
2078        14245               4
2079         3588               4
2080         6971               4
2081        11315               4
2082         4210               0
2083        11856               4
2084         5392               4
2085        10530               2
2086        13687               4
2087         4447               4
2088        10704               4
2089         7517               3
2090         6846               0
2091         7009               0
2092         8282               4
2093        11588               4
2094        15948               2
2095         9701               1
2096        15016               0
2097        12250               4
2098         2114               2
2099         2723               2
2100        10705               5
2101         6241               3
2102         5668               2
2103         7236               0
2104         5622               2
2105         7591               2
2106         3988               4
2107         5477               5
2108         6596               4
2109        12270               2
2110        14870               5
2111         4710               0
2112         9596               2
2113         8670               4
2114        12989               2
2115          431               3
2116        13425               2
2117         5915               2
2118         7809               1
2119        13473               5
2120         5655               2
2121         8510               1
2122         2296               2
2123         9990               0
2124        12507               1
2125        15654               2
2126         3682               4
2127         2775               4
2128          772               4
2129          794               2
2130        15345               0
2131         6775               2
2132        12471               3
2133         9692               4
2134        12636               4
2135        10718               2
2136         5855               0
2137         1894               4
2138        11237               2
2139        10739               2
2140        15277               5
2141        14003               4
2142         1127               2
2143            2               4
2144         3691               4
2145        12917               3
2146         7251               0
2147         9755               0
2148        15761               2
2149          376               5
2150         3268               0
2151         5162               3
2152        13452               3
2153        10793               0
2154         9096               4
2155        15241               0
2156        10158               4
2157        14403               0
2158        11186               2
2159         8177               4
2160          366               1
2161         5383               2
2162         9782               3
2163         2128               1
2164        11008               2
2165        14739               2
2166         6296               2
2167         8838               2
2168         2154               4
2169         6223               4
2170         4975               1
2171        15931               2
2172         4213               0
2173        10353               4
2174         3159               4
2175         7552               0
2176        11424               4
2177         4511               0
2178        13651               4
2179         2326               1
2180        11345               5
2181         1444               4
2182          666               2
2183         8659               2
2184           69               2
2185        14611               0
2186        11764               4
2187         1719               2
2188         1896               4
2189         4166               2
2190         7255               2
2191         4871               4
2192        13963               1
2193         2591               4
2194         1626               2
2195        15395               5
2196        10490               2
2197        15716               3
2198        10605               2
2199        12198               1
2200         4571               0
2201         8545               4
2202         2363               2
2203        10450               2
2204         1289               2
2205         7512               0
2206         2293               4
2207        10930               4
2208         3075               0
2209        11271               1
2210         3621               4
2211         1287               0
2212         6028               4
2213         3147               4
2214         1620               0
2215        12991               2
2216          714               5
2217        15506               4
2218        15106               1
2219        11095               4
2220        12983               1
2221        10602               1
2222           96               1
2223         4008               4
2224        11746               2
2225        10923               3
2226         3390               2
2227         6914               2
2228         7332               4
2229        13763               0
2230         7505               0
2231        12647               0
2232         1401               5
2233        15755               2
2234        13523               5
2235         3035               1
2236         9869               2
2237         8384               0
2238         3665               4
2239         8193               1
2240        14994               2
2241        11318               1
2242         9057               2
2243         3734               3
2244        10381               4
2245        12219               4
2246        13399               4
2247        11285               4
2248        13418               5
2249         7889               4
2250         1336               2
2251        11207               2
2252        13166               4
2253         4811               2
2254        15678               2
2255        15773               1
2256        11178               2
2257         5102               3
2258        15898               0
2259         6295               1
2260        11049               2
2261        12227               4
2262         1208               0
2263         2665               4
2264         5373               3
2265         9047               2
2266         5348               2
2267         1048               5
2268        10875               0
2269         8482               4
2270        11372               2
2271         4591               2
2272         6578               2
2273         4351               4
2274         8746               2
2275        14382               3
2276         6735               0
2277         7557               2
2278        11501               2
2279        10976               0
2280         4327               0
2281         4011               4
2282        11040               3
2283         7203               4
2284         1276               2
2285         3095               2
2286         1646               0
2287        15476               2
2288           65               2
2289        12549               4
2290         5424               3
2291         7685               3
2292        12706               2
2293         6156               0
2294          479               2
2295         5580               2
2296        11511               5
2297         6525               4
2298         5640               4
2299        10321               2
2300         7937               0
2301        13606               4
2302        10096               0
2303         9582               4
2304        15039               2
2305         6195               2
2306         9089               2
2307         1850               2
2308         6522               4
2309         8055               1
2310        13724               2
2311          866               4
2312         2580               4
2313         2881               0
2314         4553               0
2315         7737               2
2316        14943               2
2317         7107               4
2318         2732               1
2319         2814               4
2320         3811               4
2321         9536               0
2322        12429               1
2323         7159               0
2324        13937               0
2325           55               2
2326         2700               4
2327         1825               2
2328         1060               2
2329        14919               5
2330        12541               1
2331         8456               2
2332         3590               4
2333        15544               2
2334         5414               1
2335         9798               5
2336         8940               0
2337        13866               2
2338         9759               4
2339         8884               1
2340        14891               1
2341        13677               0
2342         3736               3
2343         4833               2
2344        10866               0
2345          395               2
2346         2484               4
2347        15120               5
2348         7101               4
2349         5887               0
2350         5286               4
2351         6939               5
2352         2839               1
2353        10904               4
2354         9386               4
2355         5148               4
2356         1757               0
2357        14439               4
2358        14347               2
2359         2066               1
2360        11562               2
2361        13314               2
2362        14882               4
2363        10794               4
2364         2089               3
2365         3156               0
2366        12683               2
2367         8584               4
2368        15080               3
2369        11116               4
2370         2997               2
2371          306               2
2372         7294               2
2373         6731               1
2374        14756               3
2375         6527               2
2376        12090               2
2377         7962               1
2378        15286               2
2379         1356               0
2380         1047               4
2381         1438               3
2382        13051               4
2383         2462               0
2384         8575               0
2385        14636               2
2386        13929               3
2387         4816               4
2388        11085               4
2389        10860               2
2390         4406               4
2391        12879               2
2392         3085               5
2393         4924               2
2394         1036               0
2395         5305               1
2396        13690               0
2397         5788               2
2398         8725               4
2399        14317               2
2400         3659               4
2401         9793               0
2402        14455               1
2403         2707               4
2404        13710               4
2405        12232               4
2406         6444               0
2407         9631               2
2408          875               1
2409         9105               0
2410         1996               4
2411        12942               0
2412         1357               2
2413          720               4
2414        12030               1
2415         7897               1
2416         3298               2
2417        10083               4
2418         7950               3
2419        11616               5
2420         8455               1
2421        12104               2
2422        12621               0
2423         5363               2
2424         3901               2
2425         5400               4
2426         8154               2
2427        15837               2
2428        11574               2
2429        10112               4
2430        11802               0
2431        13526               2
2432        13457               0
2433          194               2
2434         4699               0
2435         1175               3
2436         6164               3
2437         4915               3
2438         7206               5
2439        14122               4
2440        15513               2
2441         6908               2
2442        11167               4
2443         3777               2
2444         7749               1
2445         4033               2
2446          483               3
2447         7961               2
2448          933               4
2449        11240               4
2450          930               2
2451        10977               1
2452         6829               2
2453         2441               4
2454         9302               2
2455        13645               1
2456         7407               4
2457         9633               2
2458         6727               4
2459        11526               5
2460         1195               2
2461        15166               1
2462         5069               2
2463         3689               4
2464        10301               4
2465        10475               4
2466        11073               4
2467         5818               4
2468         2503               1
2469         2942               2
2470         9610               2
2471         2681               0
2472         1300               1
2473        13695               0
2474         6057               2
2475        10845               2
2476         3841               2
2477        11355               0
2478         5516               0
2479        13143               4
2480        14445               4
2481         6955               4
2482         3455               0
2483         8056               3
2484        11482               4
2485        11622               0
2486         4759               2
2487        12054               0
2488        12747               4
2489           95               2
2490        10533               2
2491         4249               2
2492         6534               2
2493         9947               4
2494         5445               2
2495        13056               4
2496         7665               4
2497         5000               2
2498         9434               4
2499        14913               2
2500         8108               1
2501         2430               2
2502          520               0
2503         5250               2
2504         4483               4
2505         2371               4
2506        13806               5
2507        11484               2
2508         4068               2
2509         2123               2
2510        13096               0
2511        13382               2
2512        11360               0
2513         6070               2
2514        10746               2
2515        14626               2
2516          167               2
2517        13716               5
2518         7026               4
2519         6744               2
2520         4513               3
2521         8513               2
2522         5921               4
2523         8796               4
2524        11813               5
2525          348               0
2526         9444               0
2527         3378               3
2528         7959               2
2529         1593               0
2530         3794               0
2531        10470               0
2532         1746               1
2533        14288               4
2534        14127               1
2535        12200               2
2536        15662               1
2537         6190               3
2538        10408               2
2539          685               0
2540          709               4
2541        10601               3
2542         2299               4
2543         1691               5
2544         3446               4
2545         9549               2
2546        15192               2
2547         4056               4
2548        12110               2
2549        10603               2
2550         9157               4
2551         5566               2
2552        13468               2
2553        15586               1
2554         8088               2
2555         1920               2
2556        15254               0
2557        13362               2
2558        12465               2
2559           71               4
2560        12426               4
2561         1305               4
2562         4791               2
2563        12644               4
2564        14990               4
2565        15403               1
2566         4475               1
2567         9392               3
2568         3990               2
2569         9637               2
2570         3494               2
2571         6137               1
2572         8249               4
2573         6560               0
2574         8302               4
2575        13110               4
2576        13236               4
2577         4549               2
2578          726               4
2579        14277               4
2580         3630               4
2581         8330               4
2582         4771               4
2583         4669               2
2584        13956               2
2585        13754               0
2586        10282               0
2587        14600               0
2588        15493               4
2589         4618               0
2590         7380               2
2591        15373               4
2592         6076               4
2593        12589               1
2594        12984               4
2595        11013               2
2596         6187               2
2597         1512               0
2598         3930               4
2599        11792               1
2600        14378               1
2601         2971               4
2602         8109               3
2603         3300               4
2604         3485               2
2605        12805               4
2606         4843               4
2607         2575               1
2608         3379               5
2609         8904               4
2610        10805               2
2611        15071               5
2612         2749               0
2613        14052               4
2614        13233               0
2615         5764               0
2616         3964               4
2617          810               0
2618         8118               5
2619        15253               2
2620         9721               2
2621         4817               4
2622         4636               4
2623         4399               2
2624         6112               2
2625         3568               2
2626         6389               4
2627        13123               2
2628         7546               2
2629        15699               2
2630         9402               4
2631         8680               4
2632         8984               2
2633         7509               3
2634         8608               2
2635         8640               1
2636         2021               4
2637         4889               2
2638         7611               2
2639         4042               4
2640            7               0
2641         8012               2
2642         3790               2
2643        14134               2
2644        14194               4
2645         3820               4
2646         4130               2
2647         8224               4
2648         8543               2
2649         7365               2
2650        12127               4
2651        10065               4
2652        14800               4
2653          786               2
2654        12803               0
2655         8075               5
2656        14930               1
2657         7538               2
2658         3312               1
2659         9906               4
2660         6291               2
2661        15490               4
2662         1109               4
2663         5126               4
2664        10810               2
2665        15958               1
2666         3134               2
2667         1391               4
2668        13913               2
2669        12925               2
2670        13828               2
2671         6985               4
2672         2912               4
2673         8095               2
2674         9580               2
2675         8020               1
2676         4789               2
2677          662               0
2678          357               0
2679         6438               2
2680         9396               4
2681        11739               2
2682         4968               4
2683         5641               4
2684         3490               4
2685         5603               4
2686         9207               2
2687        15182               1
2688         2533               4
2689        11845               4
2690         4834               4
2691          206               0
2692         7545               2
2693        13749               3
2694        13627               3
2695        10813               2
2696        15448               4
2697         4108               4
2698          627               3
2699         3348               4
2700         8220               0
2701        11224               4
2702         7132               1
2703         8395               2
2704        15630               4
2705         6110               4
2706         4115               3
2707         1151               4
2708        10968               2
2709         9261               4
2710          338               0
2711        13003               5
2712         3303               2
2713         9802               5
2714         3644               1
2715        15848               2
2716        10966               1
2717         4962               4
2718        15075               0
2719         4426               2
2720         9703               2
2721         2498               2
2722        14555               0
2723         6543               1
2724         6089               2
2725        11479               4
2726        15878               0
2727         6990               4
2728         1649               2
2729        13538               4
2730        15743               2
2731         4827               2
2732         5090               2
2733         4810               0
2734         8831               4
2735         1632               2
2736         5406               4
2737         6821               4
2738          581               0
2739        11677               2
2740        11404               1
2741         6576               2
2742         3955               0
2743         8165               1
2744         7190               4
2745         8211               0
2746        13190               2
2747        11197               0
2748         1174               2
2749         2646               2
2750         8527               4
2751         8911               2
2752         3337               3
2753         3047               5
2754         6462               2
2755        13279               1
2756          918               1
2757        13210               2
2758        12970               4
2759         3914               2
2760        14896               2
2761         6413               2
2762         7418               3
2763         2444               4
2764        13440               3
2765         3084               0
2766        12254               4
2767         2177               4
2768         5590               1
2769        12462               2
2770         9904               2
2771        11694               0
2772         2232               4
2773        15760               2
2774        11978               1
2775         1430               1
2776         2709               3
2777        10953               0
2778         6554               0
2779         1931               3
2780        13394               4
2781        15817               0
2782         8296               4
2783        10621               3
2784          970               2
2785        11809               1
2786         4512               2
2787         2195               2
2788        10224               4
2789        13848               2
2790         6265               2
2791         8416               0
2792        13221               2
2793        14420               2
2794         3792               2
2795        13156               2
2796        13484               0
2797          956               2
2798         8252               0
2799        14566               4
2800        14290               4
2801        12605               4
2802        12729               2
2803         5600               4
2804         4565               0
2805         2664               4
2806         5061               3
2807         5552               0
2808        13158               2
2809         4298               4
2810        13736               2
2811        15457               0
2812         2982               1
2813         3618               3
2814        14248               0
2815          577               2
2816        10491               2
2817         4342               4
2818         1967               1
2819         7340               1
2820        13047               4
2821        10033               4
2822         1075               5
2823        13176               2
2824        10364               4
2825         8042               2
2826        10983               3
2827         1348               0
2828        10838               4
2829         6758               3
2830        11544               4
2831         7257               4
2832         1349               5
2833         2090               2
2834         4851               4
2835         6732               4
2836          500               4
2837         1930               0
2838        13129               4
2839        10382               4
2840         8978               2
2841         7925               0
2842         4446               4
2843        10063               4
2844        13979               1
2845        10102               4
2846        13931               2
2847        10340               4
2848         7344               2
2849        11308               0
2850        10512               2
2851         4001               4
2852         7200               4
2853         9474               0
2854         4658               4
2855         2841               0
2856         7705               3
2857         4344               2
2858         8800               1
2859         7427               4
2860        11242               1
2861          882               1
2862        13074               4
