     handicappedinfants  waterprojectcostsharing  \
431                         1                     2                       2   
432                         2                     1                       1   
433                         2                     0                       0   
434                         2                     1                       1   

     mxmissile  immigration  synfuelscorporationcutback  educationspending  \
0            1            2                           0                  2   
1            1            1                           1                  2   
2            1            1                           2                  1   
3            1            1                           2                  1   
4            1            1                           2                  0   
5            1            1                           1                  1   
6            1            1                           1                  1   
7            1            1                           1                  1   
8            1            1                           1                  2   
9            2            1                           1                  1   
10           1            1                           0                  0   
11           1            1                           2                  0   
12           2            1                           1                  1   
13           0            2                           2                  0   
14           1            1                           1                  2   
15           1            2                           1                  2   
16           0            2                           2                  2   
17           2            1                           1                  1   
18           1            1                           1                  0   
19           2            1                           2                  1   
20           1            1                           2                  1   
21           2            1                           1                  1   
22           2            1                           1                  0   
23           2            1                           1                  1   
24           2            1                           1                  1   
25           2            2                           1                  1   
26           2            1                           2                  1   
27           2            1                           2                  1   
28           2            1                           1                  2   
29           2            1                           2                  1   
30           1            1                           1                  2   
31           2            1                           2                  1   
32           2            2                           1                  1   
33           1            1                           1                  2   
34           2            1                           1                  1   
35           1            1                           1                  2   
36           1            2                           1                  2   
37           1            1                           1                  1   
38           1            2                           1                  2   
39           2            2                           2                  1   
40           2            1                           0                  1   
41           2            1                           1                  1   
42           2            1                           1                  1   
43           2            1                           1                  1   
44           2            1                           2                  1   
45           0            1                           2                  1   
46           2            1                           1                  1   
47           0            1                           1                  1   
48           1            1                           1                  1   
49           1            1                           1                  2   
50           2            1                           2                  1   
51           1            1                           1                  2   
52           2            1                           1                  1   
53           1            2                           1                  2   
54           1            1                           2                  2   
55           1            2                           2                  2   
56           1            2                           2                  2   
57           1            2                           1                  2   
58           1            2                           1                  2   
59           1            2                           1                  2   
60           2            2                           1                  1   
61           1            1                           1                  2   
62           2            1                           1                  1   
63           2            1                           2                  1   
64           2            1                           2                  0   
65           1            1                           1                  2   
66           1            1                           2                  2   
67           1            2                           1                  2   
68           2            1                           1                  1   
69           2            1                           1                  1   
70           2            1                           1                  1   
71           2            2                           2                  1   
72           2            1                           2                  1   
73           2            2                           1                  1   
74           2            2                           2                  1   
75           1            2                           2                  1   
76           1            2                           2                  2   
77           2            2                           2                  2   
78           1            2                           2                  1   
79           1            2                           1                  2   
80           2            2                           1                  2   
81           0            2                           2                  2   
82           1            2                           1                  2   
83           1            1                           1                  2   
84           1            2                           1                  2   
85           1            2                           2                  2   
86           1            2                           1                  2   
87           1            1                           1                  2   
88           2            2                           2                  1   
89           1            2                           1                  0   
90           2            2                           1                  1   
91           2            2                           2                  1   
92           1            2                           2                  1   
93           2            2                           2                  1   
94           1            1                           1                  1   
95           0            1                           2                  0   
96           1            1                           2                  2   
97           1            2                           2                  1   
98           2            2                           1                  1   
99           1            2                           0                  2   
100          1            1                           2                  2   
101          1            1                           2                  1   
102          0            1                           2                  1   
103          0            1                           1                  1   
104          2            2                           0                  1   
105          2            1                           2                  1   
106          1            1                           1                  2   
107          0            0                           0                  0   
108          2            1                           1                  1   
109          2            1                           1                  1   
110          2            2                           1                  1   
111          1            2                           1                  2   
112          1            2                           1                  1   
113          1            2                           1                  2   
114          2            1                           1                  1   
115          2            2                           0                  0   
116          2            1                           2                  1   
117          1            1                           1                  2   
118          2            2                           2                  1   
119          1            1                           1                  2   
120          1            2                           1                  2   
121          1            2                           1                  2   
122          1            2                           1                  2   
123          1            1                           1                  2   
124          2            1                           1                  1   
125          1            2                           1                  2   
126          1            1                           1                  2   
127          2            2                           2                  1   
128          1            2                           2                  1   
129          0            1                           0                  0   
130          2            1                           1                  1   
131          2            2                           1                  1   
132          1            2                           1                  2   
133          1            2                           1                  2   
134          1            1                           1                  2   
135          1            2                           1                  2   
136          1            2                           2                  2   
137          2            2                           1                  1   
138          2            2                           1                  1   
139          2            1                           1                  1   
140          2            2                           1                  1   
141          2            2                           1                  2   
142          2            2                           1                  2   
143          2            2                           2                  1   
144          2            2                           1                  1   
145          2            2                           1                  1   
146          1            1                           1                  2   
147          2            2                           1                  2   
148          1            2                           2                  2   
149          2            2                           1                  1   
150          1            2                           1                  2   
151          2            1                           2                  0   
152          2            2                           2                  1   
153          2            2                           2                  1   
154          1            1                           1                  2   
155          1            1                           2                  2   
156          1            1                           1                  2   
157          2            1                           2                  1   
158          1            2                           1                  2   
159          2            2                           2                  1   
160          1            1                           1                  2   
161          1            1                           1                  2   
162          1            1                           2                  2   
163          1            1                           1                  2   
164          1            2                           2                  2   
165          2            2                           2                  1   
166          1            2                           1                  2   
167          1            2                           2                  2   
168          2            1                           1                  1   
169          2            2                           2                  1   
170          2            0                           1                  1   
171          1            2                           1                  2   
172          2            2                           1                  1   
173          1            2                           2                  2   
174          2            1                           1                  1   
175          2            2                           1                  1   
176          2            2                           1                  1   
177          2            2                           2                  0   
178          2            2                           2                  0   
179          2            2                           1                  1   
180          2            0                           0                  1   
181          2            2                           2                  1   
182          2            1                           1                  1   
183          2            0                           0                  0   
184          2            2                           2                  1   
185          2            2                           1                  0   
186          2            2                           2                  1   
187          2            1                           1                  1   
188          1            1                           1                  2   
189          2            1                           1                  1   
190          1            1                           1                  2   
191          1            2                           1                  2   
192          2            1                           2                  1   
193          2            1                           1                  1   
194          2            2                           2                  1   
195          1            1                           1                  2   
196          2            1                           2                  2   
197          1            2                           1                  1   
198          2            2                           2                  1   
199          0            1                           2                  1   
200          2            1                           1                  1   
201          2            1                           1                  1   
202          2            2                           2                  1   
203          2            2                           1                  1   
204          1            1                           1                  2   
205          2            2                           1                  2   
206          1            2                           1                  2   
207          1            2                           1                  2   
208          2            1                           1                  0   
209          2            2                           2                  1   
210          2            1                           1                  1   
211          1            2                           1                  2   
212          2            1                           2                  1   
213          2            1                           2                  1   
214          1            2                           1                  2   
215          1            2                           2                  2   
216          0            2                           1                  1   
217          1            2                           1                  2   
218          2            1                           0                  1   
219          2            1                           2                  1   
220          2            1                           1                  1   
221          1            1                           2                  1   
222          2            1                           2                  1   
223          1            1                           1                  2   
224          1            2                           1                  0   
225          1            1                           1                  2   
226          2            1                           2                  1   
227          2            1                           1                  1   
228          1            1                           1                  2   
229          2            2                           1                  2   
230          1            1                           1                  2   
231          2            2                           1                  2   
232          1            1                           2                  1   
233          1            2                           1                  2   
234          2            2                           1                  2   
235          1            2                           1                  2   
236          2            1                           1                  1   
237          1            1                           1                  2   
238          0            2                           1                  1   
239          1            2                           1                  1   
240          2            1                           1                  2   
241          2            2                           2                  1   
242          1            1                           1                  0   
243          0            2                           1                  1   
244          2            2                           1                  1   
245          2            2                           2                  1   
246          2            1                           1                  1   
247          1            1                           1                  0   
248          0            0                           0                  0   
249          0            1                           2                  1   
250          1            1                           1                  2   
251          1            1                           1                  2   
252          2            1                           1                  1   
253          1            1                           1                  2   
254          2            2                           1                  1   
255          2            2                           1                  1   
256          1            1                           1                  2   
257          1            1                           1                  2   
258          2            1                           2                  1   
259          2            1                           1                  1   
260          2            2                           1                  1   
261          2            1                           0                  0   
262          2            2                           1                  1   
263          2            1                           1                  1   
264          2            1                           1                  1   
265          2            2                           1                  1   
266          1            2                           1                  2   
267          2            2                           1                  1   
268          2            1                           1                  1   
269          2            1                           1                  1   
270          2            1                           1                  1   
271          2            1                           0                  1   
272          2            2                           1                  1   
273          1            2                           1                  2   
274          1            2                           1                  1   
275          1            1                           0                  1   
276          1            1                           1                  2   
277          1            2                           1                  1   
278          1            1                           1                  2   
279          1            2                           1                  2   
280          2            2                           1                  1   
281          1            1                           1                  1   
282          1            2                           1                  0   
283          1            1                           1                  2   
284          2            2                           2                  1   
285          2            2                           2                  1   
286          0            2                           2                  2   
287          2            1                           2                  1   
288          1            2                           2                  1   
289          1            2                           2                  1   
290          2            2                           1                  1   
291          2            2                           1                  0   
292          1            2                           2                  1   
293          2            2                           2                  1   
294          1            2                           2                  1   
295          1            2                           1                  2   
296          1            2                           1                  2   
297          2            2                           1                  1   
298          2            2                           2                  1   
299          2            2                           1                  1   
300          2            2                           1                  2   
301          2            1                           1                  1   
302          1            2                           1                  2   
303          1            1                           1                  2   
304          1            2                           1                  2   
305          1            2                           1                  2   
306          1            1                           1                  2   
307          2            1                           1                  1   
308          1            2                           1                  2   
309          2            2                           1                  1   
310          1            2                           1                  2   
311          2            2                           1                  1   
312          2            2                           1                  1   
313          1            2                           1                  2   
314          1            1                           2                  2   
315          1            1                           1                  1   
316          2            1                           2                  2   
317          2            2                           1                  1   
318          2            1                           1                  1   
319          2            1                           1                  1   
320          2            2                           1                  1   
321          2            2                           1                  1   
322          1            1                           2                  1   
323          0            2                           1                  1   
324          1            1                           2                  2   
325          0            1                           1                  2   
326          2            1                           2                  1   
327          1            1                           1                  2   
328          2            1                           2                  1   
329          2            2                           1                  1   
330          1            2                           1                  2   
331          2            1                           1                  1   
332          2            1                           2                  1   
333          2            1                           1                  1   
334          0            1                           2                  2   
335          1            2                           2                  2   
336          1            1                           2                  1   
337          2            1                           1                  1   
338          2            2                           1                  1   
339          1            1                           2                  2   
340          1            2                           2                  2   
341          2            2                           2                  1   
342          1            2                           2                  1   
343          2            2                           1                  1   
344          2            2                           2                  1   
345          1            2                           1                  2   
346          1            2                           1                  2   
347          1            2                           1                  2   
348          2            2                           1                  2   
349          2            1                           1                  2   
350          2            1                           2                  1   
351          2            2                           1                  2   
352          2            1                           2                  1   
353          1            2                           2                  2   
354          2            2                           1                  0   
355          2            2                           1                  1   
356          1            1                           1                  2   
357          1            1                           1                  2   
358          2            2                           2                  2   
359          1            2                           0                  2   
360          2            2                           1                  1   
361          2            2                           1                  1   
362          2            2                           2                  2   
363          1            2                           2                  1   
364          1            1                           2                  1   
365          1            2                           2                  1   
366          1            2                           2                  1   
367          1            2                           2                  1   
368          1            2                           1                  1   
369          1            1                           1                  1   
370          1            2                           0                  0   
371          2            2                           1                  1   
372          1            1                           2                  2   
373          1            2                           0                  1   
374          1            1                           1                  2   
375          1            1                           2                  2   
376          2            1                           2                  1   
377          1            1                           0                  0   
378          1            1                           1                  2   
379          1            1                           1                  2   
380          2            1                           2                  1   
381          2            2                           2                  1   
382          1            1                           2                  1   
383          2            2                           2                  1   
384          1            1                           2                  2   
385          1            1                           2                  2   
386          1            1                           2                  1   
387          2            1                           2                  1   
388          1            1                           1                  2   
389          2            0                           2                  1   
390          1            1                           2                  2   
391          2            1                           2                  1   
392          1            1                           2                  2   
393          2            1                           1                  2   
394          1            1                           2                  1   
395          1            1                           2                  0   
396          1            1                           2                  1   
397          1            1                           2                  1   
398          1            1                           1                  1   
399          1            2                           1                  2   
400          1            1                           0                  0   
401          1            2                           2                  2   
402          2            2                           1                  2   
403          1            2                           1                  2   
404          1            2                           1                  2   
405          1            1                           1                  2   
406          2            2                           1                  1   
407          1            1                           2                  2   
408          2            1                           1                  2   
409          1            1                           1                  2   
410          1            1                           2                  2   
411          2            2                           2                  1   
412          1            2                           1                  2   
413          1            2                           0                  0   
414          2            1                           1                  1   
415          0            2                           1                  1   
416          1            2                           1                  1   
417          2            2                           2                  1   
418          1            2                           1                  1   
419          2            1                           1                  1   
420          1            2                           1                  1   
421          1            1                           2                  1   
422          2            1                           2                  1   
423          2            1                           2                  1   
424          2            2                           2                  1   
425          1            2                           2                  1   
426          2            2                           1                  1   
427          1            2                           1                  2   
428          2            2                           1                  1   
429          2            2                           1                  2   
430          2            2                           1                  2   
431          2            2                           1                  1   
432          1            1                           2                  2   
433          0            0                           1                  2   
434          1            2                           1                  2   

     superfundrighttosue  crime  dutyfreeexports  \
0                      2      2                1   
1                      2      2                1   
2                      2      2                1   
3                      2      1                1   
4                      2      2                2   
5                      2      2                2   
6                      0      2                2   
7                      2      2                0   
8                      2      2                1   
9                      1      1                0   
10                     2      2                1   
11                     2      2                0   
12                     2      1                0   
13                     1      1                2   
14                     0      0                1   
15                     2      0                1   
16                     0      1                1   
17                     2      1                2   
18                     2      2                1   
19                     1      1                2   
20                     1      1                2   
21                     0      0                2   
22                     1      1                2   
23                     1      1                2   
24                     1      1                2   
25                     1      1                2   
26                     1      1                2   
27                     1      1                2   
28                     2      2                1   
29                     1      1                2   
30                     2      2                1   
31                     1      1                2   
32                     2      1                2   
33                     2      2                1   
34                     1      1                2   
35                     2      2                1   
36                     0      2                1   
37                     2      2                1   
38                     2      2                1   
39                     2      1                2   
40                     1      1                1   
41                     1      1                2   
42                     1      1                1   
43                     1      1                2   
44                     1      1                1   
45                     1      1                2   
46                     1      1                1   
47                     1      1                1   
48                     1      2                1   
49                     2      2                1   
50                     1      1                2   
51                     2      2                1   
52                     1      1                0   
53                     2      2                1   
54                     1      2                1   
55                     2      2                1   
56                     2      2                1   
57                     2      2                1   
58                     2      2                1   
59                     2      2                1   
60                     1      1                2   
61                     2      2                1   
62                     1      1                1   
63                     1      1                1   
64                     1      1                1   
65                     2      2                1   
66                     2      2                1   
67                     2      2                1   
68                     2      1                2   
69                     1      1                2   
70                     2      1                2   
71                     1      2                1   
72                     1      1                2   
73                     2      2                1   
74                     1      2                2   
75                     2      2                1   
76                     2      2                1   
77                     2      2                1   
78                     2      2                1   
79                     2      2                1   
80                     1      2                1   
81                     1      2                1   
82                     2      2                1   
83                     2      2                1   
84                     2      2                1   
85                     2      2                1   
86                     2      2                1   
87                     2      2                1   
88                     2      2                1   
89                     2      2                1   
90                     1      1                2   
91                     1      1                2   
92                     1      0                2   
93                     1      1                2   
94                     1      1                1   
95                     0      0                2   
96                     2      2                1   
97                     1      2                1   
98                     1      1                1   
99                     2      2                1   
100                    1      2                1   
101                    1      2                1   
102                    2      2                2   
103                    1      2                0   
104                    2      2                1   
105                    1      1                2   
106                    2      2                1   
107                    0      2                0   
108                    1      1                2   
109                    1      1                2   
110                    1      1                2   
111                    2      2                1   
112                    1      1                2   
113                    2      2                1   
114                    1      1                2   
115                    1      1                2   
116                    1      1                2   
117                    2      2                1   
118                    1      1                2   
119                    2      2                1   
120                    2      2                0   
121                    2      2                1   
122                    1      2                1   
123                    2      2                1   
124                    1      1                2   
125                    2      2                1   
126                    2      2                1   
127                    1      2                2   
128                    1      1                2   
129                    0      0                0   
130                    1      1                2   
131                    1      2                1   
132                    2      2                1   
133                    2      2                1   
134                    2      2                1   
135                    2      2                1   
136                    2      1                1   
137                    1      2                2   
138                    1      2                1   
139                    1      1                2   
140                    2      2                1   
141                    2      2                0   
142                    2      2                1   
143                    1      2                2   
144                    1      2                1   
145                    1      2                0   
146                    2      2                1   
147                    2      2                2   
148                    2      2                1   
149                    2      1                2   
150                    2      2                1   
151                    2      2                1   
152                    2      1                2   
153                    2      2                1   
154                    2      2                1   
155                    2      2                1   
156                    2      2                1   
157                    0      0                0   
158                    2      2                1   
159                    1      0                1   
160                    2      2                2   
161                    2      2                1   
162                    2      2                1   
163                    2      2                1   
164                    2      2                1   
165                    2      1                2   
166                    1      2                2   
167                    1      2                2   
168                    2      2                2   
169                    1      2                1   
170                    1      1                2   
171                    2      2                1   
172                    0      1                2   
173                    2      2                1   
174                    1      1                2   
175                    1      1                2   
176                    1      2                2   
177                    1      1                2   
178                    1      1                2   
179                    1      1                2   
180                    1      1                0   
181                    1      1                2   
182                    1      1                2   
183                    0      0                0   
184                    1      1                2   
185                    1      1                2   
186                    1      1                2   
187                    1      1                2   
188                    0      2                0   
189                    1      1                2   
190                    2      2                1   
191                    2      2                1   
192                    1      2                2   
193                    1      1                2   
194                    1      1                2   
195                    2      2                1   
196                    1      2                2   
197                    1      2                1   
198                    0      1                2   
199                    1      1                2   
200                    1      2                2   
201                    1      1                2   
202                    1      1                2   
203                    1      1                2   
204                    2      2                1   
205                    1      1                1   
206                    1      2                1   
207                    2      2                1   
208                    1      1                2   
209                    1      1                1   
210                    1      1                2   
211                    2      2                1   
212                    1      1                2   
213                    2      1                2   
214                    2      2                1   
215                    2      2                2   
216                    1      2                2   
217                    2      2                1   
218                    1      1                2   
219                    1      2                2   
220                    1      1                2   
221                    1      1                2   
222                    1      1                2   
223                    2      2                1   
224                    2      2                1   
225                    2      2                1   
226                    1      2                2   
227                    1      1                0   
228                    2      0                1   
229                    2      2                1   
230                    2      2                1   
231                    2      2                1   
232                    1      1                2   
233                    2      2                1   
234                    1      2                2   
235                    1      2                1   
236                    1      1                2   
237                    2      1                1   
238                    1      1                2   
239                    1      2                2   
240                    2      2                1   
241                    1      2                2   
242                    1      2                2   
243                    2      1                2   
244                    1      1                2   
245                    1      1                2   
246                    1      2                0   
247                    2      2                1   
248                    0      0                0   
249                    1      1                2   
250                    2      2                1   
251                    2      2                1   
252                    1      1                2   
253                    2      2                1   
254                    1      1                1   
255                    1      2                2   
256                    1      2                1   
257                    1      2                0   
258                    1      1                2   
259                    1      1                1   
260                    1      1                1   
261                    1      0                0   
262                    0      1                2   
263                    1      1                2   
264                    1      1                2   
265                    1      1                1   
266                    1      2                1   
267                    1      2                1   
268                    1      1                2   
269                    1      1                1   
270                    1      1                2   
271                    1      1                1   
272                    1      1                2   
273                    2      2                0   
274                    1      2                2   
275                    2      2                1   
276                    2      2                2   
277                    1      2                1   
278                    2      2                1   
279                    2      2                1   
280                    1      2                1   
281                    1      2                1   
282                    2      2                1   
283                    2      2                1   
284                    1      1                0   
285                    1      1                2   
286                    1      2                2   
287                    2      1                0   
288                    2      2                2   
289                    2      2                1   
290                    2      2                1   
291                    1      2                1   
292                    2      2                2   
293                    2      2                2   
294                    2      2                1   
295                    0      0                0   
296                    2      2                2   
297                    0      1                2   
298                    1      1                2   
299                    2      2                2   
300                    2      2                1   
301                    1      1                2   
302                    2      2                1   
303                    2      2                1   
304                    2      2                1   
305                    2      2                1   
306                    2      2                1   
307                    1      2                1   
308                    2      2                1   
309                    1      2                2   
310                    2      2                2   
311                    2      1                1   
312                    1      1                2   
313                    2      2                1   
314                    2      2                2   
315                    0      0                2   
316                    2      2                2   
317                    1      1                2   
318                    1      1                2   
319                    1      1                2   
320                    2      2                1   
321                    2      1                1   
322                    2      2                1   
323                    2      2                1   
324                    2      2                1   
325                    2      2                1   
326                    1      2                1   
327                    2      2                1   
328                    1      1                1   
329                    1      1                2   
330                    2      2                1   
331                    1      1                2   
332                    1      1                2   
333                    1      1                2   
334                    1      1                2   
335                    2      2                1   
336                    1      2                0   
337                    1      1                2   
338                    1      2                2   
339                    2      2                1   
340                    1      2                1   
341                    0      0                2   
342                    2      1                2   
343                    1      2                1   
344                    1      1                2   
345                    1      2                2   
346                    2      2                1   
347                    2      2                1   
348                    1      1                2   
349                    2      2                1   
350                    1      1                2   
351                    2      2                2   
352                    2      1                2   
353                    2      2                1   
354                    1      1                2   
355                    1      2                2   
356                    2      2                1   
357                    2      2                1   
358                    2      2                1   
359                    2      2                1   
360                    2      1                1   
361                    2      2                1   
362                    2      1                1   
363                    2      1                1   
364                    2      2                1   
365                    2      2                1   
366                    1      1                1   
367                    1      1                2   
368                    1      1                2   
369                    2      2                1   
370                    1      1                2   
371                    1      1                2   
372                    0      2                1   
373                    2      2                0   
374                    2      2                1   
375                    1      2                1   
376                    1      1                2   
377                    2      0                0   
378                    2      2                1   
379                    2      2                1   
380                    2      1                2   
381                    2      2                1   
382                    2      2                1   
383                    1      1                1   
384                    2      2                1   
385                    2      2                2   
386                    1      1                1   
387                    1      2                1   
388                    2      2                1   
389                    1      1                2   
390                    1      2                1   
391                    1      1                2   
392                    2      2                1   
393                    2      1                1   
394                    2      1                1   
395                    1      1                2   
396                    2      1                2   
397                    2      2                1   
398                    1      1                1   
399                    2      2                1   
400                    0      2                1   
401                    2      2                1   
402                    1      2                1   
403                    0      2                1   
404                    2      2                1   
405                    2      2                1   
406                    2      2                1   
407                    2      2                1   
408                    0      2                2   
409                    2      2                1   
410                    2      2                1   
411                    1      1                1   
412                    2      2                1   
413                    0      2                1   
414                    1      1                1   
415                    1      1                1   
416                    2      2                1   
417                    2      1                1   
418                    1      1                1   
419                    1      1                1   
420                    2      2                1   
421                    2      1                2   
422                    1      1                2   
423                    1      2                2   
424                    0      2                2   
425                    1      1                2   
426                    1      1                2   
427                    2      2                1   
428                    2      1                2   
429                    1      0                2   
430                    2      2                1   
431                    1      1                1   
432                    2      2                1   
433                    2      2                1   
434                    2      2                0   

     exportadministrationactsouthafrica  Class  
0                                     2      1  
1                                     0      1  
2                                     1      0  
3                                     2      0  
4                                     2      0  
5                                     2      0  
6                                     2      0  
7                                     2      1  
8                                     2      1  
9                                     0      0  
10                                    1      1  
11                                    0      1  
12                                    0      0  
13                                    0      0  
14                                    0      1  
15                                    0      1  
16                                    2      0  
17                                    2      0  
18                                    1      1  
19                                    2      0  
20                                    2      0  
21                                    2      0  
22                                    2      0  
23                                    2      0  
24                                    0      0  
25                                    2      0  
26                                    2      0  
27                                    2      0  
28                                    2      1  
29                                    2      0  
30                                    1      1  
31                                    0      0  
32                                    2      0  
33                                    2      1  
34                                    2      0  
35                                    1      1  
36                                    2      1  
37                                    2      1  
38                                    1      1  
39                                    2      0  
40                                    0      0  
41                                    0      0  
42                                    2      0  
43                                    2      0  
44                                    0      0  
45                                    0      0  
46                                    2      0  
47                                    0      0  
48                                    2      0  
49                                    1      1  
50                                    2      0  
51                                    2      1  
52                                    0      0  
53                                    1      1  
54                                    0      0  
55                                    1      1  
56                                    2      1  
57                                    2      1  
58                                    2      1  
59                                    0      1  
60                                    0      0  
61                                    1      1  
62                                    0      0  
63                                    2      0  
64                                    2      0  
65                                    2      1  
66                                    2      1  
67                                    1      1  
68                                    2      0  
69                                    2      0  
70                                    0      0  
71                                    2      1  
72                                    0      0  
73                                    2      1  
74                                    2      0  
75                                    1      0  
76                                    0      0  
77                                    2      0  
78                                    2      0  
79                                    1      1  
80                                    0      0  
81                                    2      0  
82                                    2      1  
83                                    1      1  
84                                    1      1  
85                                    2      0  
86                                    1      1  
87                                    1      1  
88                                    2      0  
89                                    0      1  
90                                    2      0  
91                                    2      0  
92                                    2      0  
93                                    2      0  
94                                    2      0  
95                                    2      0  
96                                    2      0  
97                                    2      0  
98                                    2      0  
99                                    1      1  
100                                   2      0  
101                                   2      0  
102                                   0      0  
103                                   1      0  
104                                   0      0  
105                                   2      0  
106                                   2      1  
107                                   0      1  
108                                   0      0  
109                                   0      0  
110                                   2      0  
111                                   2      1  
112                                   0      0  
113                                   1      1  
114                                   0      0  
115                                   2      0  
116                                   2      0  
117                                   2      1  
118                                   2      0  
119                                   1      1  
120                                   2      1  
121                                   2      1  
122                                   2      1  
123                                   2      1  
124                                   2      0  
125                                   2      1  
126                                   1      1  
127                                   2      0  
128                                   2      0  
129                                   0      0  
130                                   0      0  
131                                   2      0  
132                                   0      1  
133                                   2      1  
134                                   0      1  
135                                   1      1  
136                                   2      1  
137                                   2      0  
138                                   2      0  
139                                   2      0  
140                                   2      1  
141                                   2      1  
142                                   2      1  
143                                   2      0  
144                                   0      0  
145                                   2      0  
146                                   2      1  
147                                   2      0  
148                                   2      1  
149                                   2      0  
150                                   2      1  
151                                   1      0  
152                                   2      0  
153                                   2      0  
154                                   1      1  
155                                   1      1  
156                                   1      1  
157                                   0      0  
158                                   1      1  
159                                   0      0  
160                                   2      0  
161                                   2      0  
162                                   2      0  
163                                   2      1  
164                                   0      0  
165                                   0      0  
166                                   2      1  
167                                   2      1  
168                                   0      0  
169                                   2      0  
170                                   0      0  
171                                   2      1  
172                                   2      0  
173                                   2      0  
174                                   0      0  
175                                   2      0  
176                                   2      1  
177                                   2      0  
178                                   0      0  
179                                   2      0  
180                                   0      0  
181                                   2      0  
182                                   2      0  
183                                   0      0  
184                                   2      0  
185                                   2      0  
186                                   2      0  
187                                   0      0  
188                                   0      1  
189                                   2      0  
190                                   0      1  
191                                   0      1  
192                                   2      0  
193                                   2      0  
194                                   2      0  
195                                   0      1  
196                                   0      0  
197                                   2      1  
198                                   0      0  
199                                   0      0  
200                                   2      0  
201                                   2      0  
202                                   2      0  
203                                   2      0  
204                                   2      1  
205                                   2      0  
206                                   2      1  
207                                   2      1  
208                                   2      0  
209                                   2      0  
210                                   2      0  
211                                   2      1  
212                                   2      0  
213                                   2      0  
214                                   2      1  
215                                   0      0  
216                                   0      0  
217                                   1      1  
218                                   0      0  
219                                   2      0  
220                                   0      0  
221                                   0      0  
222                                   0      0  
223                                   2      1  
224                                   1      1  
225                                   2      1  
226                                   2      0  
227                                   2      0  
228                                   2      1  
229                                   2      1  
230                                   2      1  
231                                   2      1  
232                                   0      0  
233                                   2      1  
234                                   0      0  
235                                   2      1  
236                                   2      0  
237                                   2      0  
238                                   0      0  
239                                   2      1  
240                                   2      1  
241                                   2      0  
242                                   2      1  
243                                   2      0  
244                                   2      0  
245                                   2      0  
246                                   2      0  
247                                   1      1  
248                                   0      1  
249                                   2      0  
250                                   1      1  
251                                   1      1  
252                                   2      0  
253                                   2      1  
254                                   2      0  
255                                   2      0  
256                                   1      1  
257                                   2      1  
258                                   2      0  
259                                   2      0  
260                                   2      0  
261                                   0      0  
262                                   2      0  
263                                   0      0  
264                                   0      0  
265                                   2      0  
266                                   2      1  
267                                   2      1  
268                                   0      0  
269                                   2      0  
270                                   2      0  
271                                   2      0  
272                                   0      0  
273                                   2      1  
274                                   2      1  
275                                   1      0  
276                                   1      1  
277                                   2      1  
278                                   2      1  
279                                   1      1  
280                                   2      0  
281                                   0      1  
282                                   1      1  
283                                   2      1  
284                                   2      0  
285                                   2      0  
286                                   0      0  
287                                   2      0  
288                                   2      0  
289                                   0      0  
290                                   2      0  
291                                   2      0  
292                                   2      0  
293                                   2      0  
294                                   0      0  
295                                   0      1  
296                                   2      1  
297                                   0      0  
298                                   2      0  
299                                   2      0  
300                                   2      1  
301                                   2      0  
302                                   2      1  
303                                   1      1  
304                                   0      1  
305                                   1      1  
306                                   1      1  
307                                   0      0  
308                                   1      1  
309                                   2      0  
310                                   1      1  
311                                   2      0  
312                                   2      0  
313                                   2      1  
314                                   2      1  
315                                   0      1  
316                                   1      0  
317                                   2      0  
318                                   0      0  
319                                   0      0  
320                                   2      0  
321                                   2      0  
322                                   0      0  
323                                   0      0  
324                                   1      1  
325                                   2      0  
326                                   2      0  
327                                   2      1  
328                                   2      0  
329                                   0      0  
330                                   1      1  
331                                   0      0  
332                                   0      0  
333                                   2      0  
334                                   2      0  
335                                   0      1  
336                                   2      0  
337                                   2      0  
338                                   2      0  
339                                   1      1  
340                                   2      1  
341                                   2      0  
342                                   2      0  
343                                   2      1  
344                                   2      0  
345                                   2      1  
346                                   2      1  
347                                   1      1  
348                                   0      0  
349                                   2      1  
350                                   2      0  
351                                   2      1  
352                                   0      0  
353                                   2      1  
354                                   2      0  
355                                   2      1  
356                                   1      1  
357                                   1      1  
358                                   0      0  
359                                   2      1  
360                                   2      0  
361                                   0      0  
362                                   2      0  
363                                   1      1  
364                                   2      1  
365                                   1      0  
366                                   0      0  
367                                   0      0  
368                                   2      0  
369                                   2      1  
370                                   2      0  
371                                   0      0  
372                                   1      0  
373                                   2      0  
374                                   2      1  
375                                   1      0  
376                                   2      0  
377                                   0      1  
378                                   2      1  
379                                   2      1  
380                                   2      0  
381                                   0      0  
382                                   0      0  
383                                   2      0  
384                                   2      0  
385                                   1      0  
386                                   0      0  
387                                   0      0  
388                                   0      0  
389                                   0      0  
390                                   0      0  
391                                   1      0  
392                                   2      1  
393                                   0      1  
394                                   2      0  
395                                   2      0  
396                                   2      0  
397                                   2      0  
398                                   2      0  
399                                   1      1  
400                                   0      1  
401                                   1      1  
402                                   2      1  
403                                   1      1  
404                                   2      1  
405                                   2      1  
406                                   2      0  
407                                   1      0  
408                                   2      0  
409                                   1      1  
410                                   2      1  
411                                   2      0  
412                                   2      1  
413                                   2      1  
414                                   2      0  
415                                   2      0  
416                                   2      1  
417                                   2      0  
418                                   2      0  
419                                   2      0  
420                                   2      1  
421                                   2      0  
422                                   2      0  
423                                   2      0  
424                                   2      0  
425                                   0      0  
426                                   2      0  
